,BOOK NAME,AUTHOR,PAGES
465,"Creative Block: Get Unstuck, Discover New Ideas. Advice & Projects from 50 Successful Artists",Danielle Krysa,460
466,Happy Houseplants: 30 Lovely Varieties to Brighten Up Your Home,Angela Staehling,125
467,Hacking the CAGED System: Book 1,Graham Tippett,59
468,The Practical Guide to Drawing Figures: [Artist's Workbook],Barrington Barber,83
469,"Insomniac City: New York, Oliver Sacks, and Me",Bill Hayes,292
470,100 Great Plays For Women,Lucy Kerbel,353
471,The Sound Inside,Adam Rapp,79
472,Boogie-Woogie Piano for Beginners,Mark Harrison,33
473,Inner Spaces: Paul Vincent Wiseman & The Wiseman Group,Brian Coleman,385
474,How to Build a Car: The Autobiography of the World’s Greatest Formula 1 Designer,Adrian Newey,552
475,Piano Walking Bass: From blues to jazz,Jesper Kaae,39
